Periodo,Mes,Departamento,Municipio,Bandera,Producto,Precio,Estado
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9320,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,BIODIESEL EXTRA,9000,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,GASOLINA CORRIENTE OXIGENADA,9200,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,GASOLINA CORRIENTE OXIGENADA,9200,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,BIODIESEL EXTRA,9050,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9372,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9152,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9152,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9372,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9152,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9372,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,8840,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,8816,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PETROMIL,BIODIESEL EXTRA,8792,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PETROMIL,GASOLINA CORRIENTE OXIGENADA,8766,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,GASOLINA EXTRA OXIGENADA,17100,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,BIODIESEL EXTRA,9170,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,GASOLINA CORRIENTE OXIGENADA,9460,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,BIODIESEL EXTRA,9170,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,GASOLINA EXTRA OXIGENADA,16700,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,GASOLINA CORRIENTE OXIGENADA,9460,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,BIODIESEL EXTRA,8740,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,GASOLINA CORRIENTE OXIGENADA,9220,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA EXTRA OXIGENADA,15461,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,9052,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,9272,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,GASOLINA EXTRA OXIGENADA,16010,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,GASOLINA CORRIENTE OXIGENADA,8970,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,BIODIESEL EXTRA,8989,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,9899,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,9369,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA EXTRA OXIGENADA,15999,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PUMA,GASOLINA CORRIENTE OXIGENADA,9350,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PUMA,BIODIESEL EXTRA,9180,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PUMA,GASOLINA EXTRA OXIGENADA,16400,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PUMA,BIODIESEL EXTRA,9180,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PUMA,GASOLINA EXTRA OXIGENADA,16000,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,PUMA,GASOLINA CORRIENTE OXIGENADA,9350,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,GASOLINA CORRIENTE OXIGENADA,9370,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,GASOLINA EXTRA OXIGENADA,15990,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TERPEL,BIODIESEL EXTRA,9150,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,GASOLINA CORRIENTE OXIGENADA,9320,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,BIODIESEL EXTRA,9170,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,BIOMAX,GASOLINA EXTRA OXIGENADA,16900,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,8870,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA EXTRA OXIGENADA,16540,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,10810,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA EXTRA OXIGENADA,17100,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA EXTRA OXIGENADA,16700,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9390,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9170,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9170,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9390,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,9746,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,9904,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA EXTRA OXIGENADA,17649,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA EXTRA OXIGENADA,16999,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,9899,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,10399,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA EXTRA OXIGENADA,16000,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,8850,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,8690,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,9013,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,8924,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA EXTRA OXIGENADA,15990,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,BIODIESEL EXTRA,9400,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,TEXACO,GASOLINA CORRIENTE OXIGENADA,9390,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA EXTRA OXIGENADA,16050,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,9080,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,9310,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA CORRIENTE OXIGENADA,9849,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,GASOLINA EXTRA OXIGENADA,17499,A
2022,2,BOGOTA D.C.,BOGOTA  D.C.,MOBIL,BIODIESEL EXTRA,10229,A
